,ID,ID2,Geographic.Area.Name,PERCPOV,PERCWHT,PERCBLK,PERCVAC,PERC25K,PERC75K,PERCNOHS,pri_neigh
81,1.70E+11,1500000US170310301022,"Block Group 2, Census Tract 301.02, Cook County, Illinois",15.51724138,50.04793864,28.37967402,9.673518742,41.90093708,7.49665328,8.891328211,Edgewater
82,1.70E+11,1500000US170310301023,"Block Group 3, Census Tract 301.02, Cook County, Illinois",0,44.01913876,18.54066986,23.5483871,18.56540084,20.67510549,1.126760563,Edgewater
83,1.70E+11,1500000US170310301031,"Block Group 1, Census Tract 301.03, Cook County, Illinois",0,61.31095124,13.98880895,25.2293578,12.26993865,33.74233129,9.262759924,Edgewater
84,1.70E+11,1500000US170310301032,"Block Group 2, Census Tract 301.03, Cook County, Illinois",15.58441558,61.85671039,27.64883956,23.42465753,26.29695886,22.8980322,2.982731554,Edgewater
85,1.70E+11,1500000US170310301041,"Block Group 1, Census Tract 301.04, Cook County, Illinois",26.54545455,72.57264352,6.661941885,2.450980392,40.70351759,13.5678392,11.33391456,
86,1.70E+11,1500000US170310301042,"Block Group 2, Census Tract 301.04, Cook County, Illinois",0,67.23259762,15.78947368,22.32415902,34.64566929,2.755905512,13.57142857,Edgewater
87,1.70E+11,1500000US170310302001,"Block Group 1, Census Tract 302, Cook County, Illinois",0,83.98648649,3.581081081,0,10.29411765,28.34224599,4.079782412,
88,1.70E+11,1500000US170310302002,"Block Group 2, Census Tract 302, Cook County, Illinois",0,77.44227353,14.26879811,12.92596945,3.373819163,31.98380567,1.805674979,Edgewater
89,1.70E+11,1500000US170310302003,"Block Group 3, Census Tract 302, Cook County, Illinois",0,87.41258741,0.786713287,0,18.75,73.31730769,7.063197026,Edgewater
90,1.70E+11,1500000US170310302004,"Block Group 4, Census Tract 302, Cook County, Illinois",4.494382022,82.36141109,0,2.354570637,20.9929078,32.34042553,13.22175732,
91,1.70E+11,1500000US170310303001,"Block Group 1, Census Tract 303, Cook County, Illinois",5.760368664,50.83285468,12.23434808,4.150453956,16.10284168,19.62110961,14.50813871,
92,1.70E+11,1500000US170310303002,"Block Group 2, Census Tract 303, Cook County, Illinois",21.96531792,65.374677,17.93281654,3.25,36.82170543,23.77260982,16.42036125,
93,1.70E+11,1500000US170310304001,"Block Group 1, Census Tract 304, Cook County, Illinois",17.06586826,78.0107849,5.092869982,3.459821429,29.59537572,25.54913295,12.68368136,
94,1.70E+11,1500000US170310304002,"Block Group 2, Census Tract 304, Cook County, Illinois",3.125,81.80873181,0,12.71676301,14.56953642,26.26931567,3.241296519,
95,1.70E+11,1500000US170310305001,"Block Group 1, Census Tract 305, Cook County, Illinois",0,72.86245353,9.516728625,10.92307692,3.626943005,58.03108808,5.396290051,Edgewater
96,1.70E+11,1500000US170310305002,"Block Group 2, Census Tract 305, Cook County, Illinois",0,83.32351208,2.592810843,13.95833333,8.474576271,43.46246973,8.138759173,Edgewater
97,1.70E+11,1500000US170310305003,"Block Group 3, Census Tract 305, Cook County, Illinois",21.46892655,83.89662028,0.894632207,12.81725888,16.15720524,48.47161572,20.67881835,
98,1.70E+11,1500000US170310305004,"Block Group 4, Census Tract 305, Cook County, Illinois",0,74.65357968,10.6812933,4.109589041,8.80952381,42.14285714,9.281842818,
99,1.70E+11,1500000US170310306011,"Block Group 1, Census Tract 306.01, Cook County, Illinois",0,74.44551591,19.57569913,9.905660377,26.0034904,6.457242583,17.96657382,Edgewater
100,1.70E+11,1500000US170310306012,"Block Group 2, Census Tract 306.01, Cook County, Illinois",47.70114943,31.03103103,27.02702703,0,53.02419355,25.80645161,39.7139714,Edgewater
101,1.70E+11,1500000US170310306031,"Block Group 1, Census Tract 306.03, Cook County, Illinois",26.25698324,39.07815631,28.95791583,0,39.05996759,12.47974068,9.164733179,Edgewater
102,1.70E+11,1500000US170310306032,"Block Group 2, Census Tract 306.03, Cook County, Illinois",18.38565022,76.27478754,10.4815864,15.37698413,28.01875733,14.65416178,4.003481288,Edgewater
